subgenic_f1_difference
Tupaiabelangeri,0.3397
Tursiopstruncatus,0.2822
Urocitellusparryii,0.3059
Ursusamericanus,0.145
Ursusmaritimus,0.2494
Vicugnapacos,0.3502
Vombatusursinus,0.2441
Vulpesvulpes,0.2534
Xenopustropicalis,0.1512
Xiphophoruscouchianus,0.1127
Xiphophorusmaculatus,0.1882
Zonotrichiaalbicollis,0.2396
