genome (our names),genome (NCBI names)
panthera_tigris_altaica,panthera_tigris_altaica
papio_anubis,papio_anubis
parambassis_ranga,parambassis_ranga
paramormyrops_kingsleyae,paramormyrops_kingsleyae
parus_major,parus_major
pelodiscus_sinensis,pelodiscus_sinensis
periophthalmus_magnuspinnatus,periophthalmus_magnuspinnatus
peromyscus_maniculatus_bairdii,peromyscus_maniculatus_bairdii
petromyzon_marinus,petromyzon_marinus
phascolarctos_cinereus,phascolarctos_cinereus
piliocolobus_tephrosceles,piliocolobus_tephrosceles
poecilia_formosa,poecilia_formosa
poecilia_latipinna,poecilia_latipinna
poecilia_mexicana,poecilia_mexicana
poecilia_reticulata,poecilia_reticulata
pogona_vitticeps,pogona_vitticeps
pongo_abelii,pongo_abelii
procavia_capensis,procavia_capensis
prolemur_simus,prolemur_simus
propithecus_coquereli,propithecus_coquereli
pteropus_vampyrus,pteropus_vampyrus
pundamilia_nyererei,pundamilia_nyererei
pygocentrus_nattereri,pygocentrus_nattereri
rattus_norvegicus,rattus_norvegicus
rhinopithecus_bieti,rhinopithecus_bieti
rhinopithecus_roxellana,rhinopithecus_roxellana
saimiri_boliviensis_boliviensis,saimiri_boliviensis_boliviensis
salvator_merianae,salvator_merianae
sarcophilus_harrisii,sarcophilus_harrisii
scleropages_formosus,scleropages_formosus
scophthalmus_maximus,scophthalmus_maximus
serinus_canaria,serinus_canaria
seriola_dumerili,seriola_dumerili
seriola_lalandi_dorsalis,seriola_lalandi_dorsalis
sorex_araneus,sorex_araneus
spermophilus_dauricus,spermophilus_dauricus
sphenodon_punctatus,sphenodon_punctatus
stegastes_partitus,stegastes_partitus
sus_scrofa,sus_scrofa
taeniopygia_guttata,taeniopygia_guttata
takifugu_rubripes,takifugu_rubripes
tetraodon_nigroviridis,tetraodon_nigroviridis
theropithecus_gelada,theropithecus_gelada
tupaia_belangeri,tupaia_belangeri
tursiops_truncatus,tursiops_truncatus
urocitellus_parryii,urocitellus_parryii
ursus_americanus,ursus_americanus
ursus_maritimus,ursus_maritimus
vicugna_pacos,vicugna_pacos
vombatus_ursinus,vombatus_ursinus
vulpes_vulpes,vulpes_vulpes
xenopus_tropicalis,xenopus_tropicalis
xiphophorus_couchianus,xiphophorus_couchianus
xiphophorus_maculatus,xiphophorus_maculatus
zonotrichia_albicollis,zonotrichia_albicollis
