position,f1,f1_with_overlapping,acc,acc_with_overlapping
0,0.7520598958333337,0.7870442708333331,0.8618703124999998,0.8830666666666666
200,0.7562817708333335,0.7867880208333334,0.8635005208333327,0.8813484375000002
400,0.7606296874999998,0.7875781249999997,0.8658114583333343,0.8811984374999998
600,0.7647416666666665,0.7888656249999997,0.8678526041666665,0.8813760416666666
800,0.7682541666666666,0.7900817708333333,0.8694880208333338,0.8816234375000006
1000,0.7709859374999993,0.7910937500000003,0.8706687499999993,0.8818213541666661
1200,0.7732223958333333,0.7919994791666668,0.8715750000000003,0.8820057291666669
1400,0.7750286458333339,0.7926994791666665,0.8722708333333332,0.8820619791666665
1600,0.776765625,0.7934588541666664,0.8729171875000001,0.8822286458333332
1800,0.7781468749999996,0.7938927083333334,0.8733635416666669,0.8821843750000005
2000,0.779429166666667,0.7945265625000003,0.8738203124999998,0.8823151041666669
2200,0.7808010416666668,0.7952578124999999,0.8743010416666669,0.88248125
2400,0.7819531250000001,0.7953208333333334,0.8746854166666668,0.8822958333333327
2600,0.7830541666666667,0.7954947916666665,0.8750843749999997,0.882177604166666
2800,0.7841770833333329,0.7960218749999995,0.8755104166666671,0.882305208333333
3000,0.7853078125000001,0.7967119791666665,0.8759223958333334,0.882457291666667
3200,0.7861979166666672,0.7971281250000003,0.8762838541666671,0.8825848958333333
3400,0.7870932291666661,0.7976890625,0.8765567708333332,0.8826979166666661
3600,0.787997916666667,0.7982458333333328,0.8769416666666662,0.8829249999999992
3800,0.7889776041666668,0.7988984374999998,0.8774213541666661,0.8832447916666665
4000,0.789879166666667,0.7995187499999997,0.8777932291666665,0.883490104166667
4200,0.7907171875,0.7999890624999999,0.8781166666666663,0.8836526041666666
4400,0.7914807291666669,0.8003953124999996,0.8784411458333331,0.8837708333333337
4600,0.7920802083333336,0.800709375,0.8786739583333328,0.8838791666666667
4800,0.7930645833333337,0.8013312499999996,0.8790843749999998,0.8841125000000002
5000,0.7937578125,0.8008062499999996,0.8793526041666663,0.8836817708333333
5200,0.7946125000000003,0.8014354166666663,0.8797494791666667,0.8839807291666669
5400,0.795363541666667,0.8019817708333338,0.8801145833333338,0.8842161458333333
