position,f1,f1_with_overlapping,acc,acc_with_overlapping
0,0.697495,0.7756200000000001,0.8313116666666666,0.8685499999999996
200,0.739965,0.7808566666666669,0.8496333333333332,0.8686416666666666
400,0.7560583333333334,0.7825350000000001,0.8564833333333335,0.8681350000000002
600,0.7633633333333335,0.7831683333333337,0.8598616666666667,0.8685199999999998
800,0.7696149999999998,0.7847399999999998,0.8633116666666666,0.8696966666666666
1000,0.7736150000000002,0.7861466666666665,0.8650083333333332,0.8705116666666669
1200,0.775413333333333,0.7862233333333335,0.86568,0.8704950000000001
1400,0.7787083333333332,0.7873466666666665,0.8671883333333334,0.8711016666666664
1600,0.7813166666666665,0.788085,0.8684933333333335,0.8714733333333329
1800,0.7823816666666669,0.7887333333333333,0.8687899999999998,0.8717033333333334
2000,0.782955,0.7881466666666667,0.8690050000000001,0.8714333333333333
2200,0.7836950000000005,0.7884966666666667,0.8693983333333333,0.8716366666666668
2400,0.7845299999999998,0.7887383333333332,0.8697266666666664,0.8717666666666666
2600,0.7859083333333334,0.7899966666666665,0.87055,0.8727050000000001
2800,0.7859816666666666,0.7899433333333336,0.8706483333333335,0.8727866666666667
3000,0.7859450000000001,0.7894933333333335,0.870515,0.8725216666666664
3200,0.7865283333333333,0.7896783333333336,0.8707783333333335,0.8727183333333333
3400,0.7872883333333334,0.790065,0.8711983333333333,0.8729199999999998
3600,0.7880333333333334,0.7904700000000001,0.8716066666666666,0.8730383333333332
3800,0.7879133333333334,0.7900866666666667,0.8714766666666667,0.8728016666666666
4000,0.7880449999999999,0.7898783333333333,0.8712450000000003,0.8722883333333332
4200,0.7879899999999995,0.7896650000000001,0.8711900000000001,0.8722266666666666
4400,0.7878966666666667,0.789566666666667,0.8712733333333331,0.8723566666666667
4600,0.7881699999999999,0.7895166666666663,0.8713933333333335,0.8722716666666666
4800,0.7880116666666666,0.7890533333333336,0.8710966666666665,0.8717600000000003
5000,0.7878333333333332,0.7893116666666666,0.8708183333333331,0.8716883333333328
5200,0.7883999999999997,0.7898666666666665,0.8710983333333334,0.87201
5400,0.7885166666666666,0.7896766666666668,0.8709933333333331,0.8718016666666664
5600,0.7885883333333336,0.7897749999999999,0.870845,0.8715666666666667
5800,0.78866,0.789716666666667,0.87121,0.8718283333333334
6000,0.7896816666666668,0.79059,0.8717366666666665,0.8722683333333331
6200,0.7904466666666665,0.7911916666666668,0.8720683333333333,0.8725033333333331
6400,0.7895416666666666,0.7903333333333331,0.8716416666666669,0.8721249999999999
6600,0.7888916666666665,0.7893733333333336,0.8710883333333335,0.8714816666666665
6800,0.7895466666666667,0.7902233333333334,0.871335,0.8717383333333334
7000,0.78973,0.7902350000000002,0.8716199999999997,0.8719716666666663
7200,0.790368333333333,0.7907216666666668,0.8723366666666663,0.8726283333333333
7400,0.79036,0.7908083333333333,0.8725916666666668,0.8728866666666671
7600,0.7896183333333336,0.7903950000000001,0.8723616666666668,0.8728200000000002
7800,0.789875,0.79077,0.8727350000000003,0.8732133333333334
8000,0.7904033333333336,0.7913433333333336,0.8727166666666668,0.8732600000000004
8200,0.7906566666666667,0.7914833333333332,0.8727116666666668,0.8732716666666668
8400,0.7912533333333334,0.7918483333333332,0.8727366666666668,0.8731066666666667
8600,0.790463333333333,0.7911549999999998,0.872605,0.8729950000000001
8800,0.7898833333333334,0.7905316666666665,0.8722216666666667,0.8725649999999998
9000,0.7896383333333337,0.7902766666666667,0.8722649999999995,0.8725966666666667
9200,0.78922,0.789805,0.8717933333333338,0.8721733333333334
9400,0.7896383333333333,0.7902616666666665,0.8718966666666668,0.872295
